District,Crop,Rainfall_mm,Temperature_C,Soil_Moisture,Fertilizer_kg,Water_Used_L,Yield_ton,Production_ton
Solapur,Wheat,520,29,42,120,2400,4.5,450
Pune,Rice,980,27,68,180,5200,6.8,680
Nashik,Maize,760,26,58,150,3900,5.4,540
Kolhapur,Sugarcane,1200,28,74,260,8200,9.5,950
Nagpur,Cotton,640,31,46,135,3100,4.9,490
Satara,Wheat,560,28,44,125,2500,4.8,480
Ahmednagar,Bajra,430,33,34,90,1800,3.7,370
Aurangabad,Soybean,610,30,48,145,3000,5.2,520
Amravati,Cotton,680,31,50,140,3200,5.1,510
Latur,Tur,470,32,36,95,2000,3.9,390
Beed,Bajra,420,34,33,85,1700,3.5,350
Sangli,Grapes,710,27,55,165,3500,7.2,720
Osmanabad,Tur,450,33,35,92,1900,3.8,380
Jalgaon,Banana,840,29,62,210,6100,8.1,810
Ratnagiri,Mango,1350,26,78,170,4700,8.8,880
Wardha,Cotton,650,31,47,138,3150,5.0,500
Yavatmal,Soybean,600,30,45,142,2950,5.0,500
Dhule,Maize,720,28,54,148,3750,5.3,530
Sindhudurg,Coconut,1450,27,82,200,6500,9.2,920
Parbhani,Jowar,500,32,39,110,2300,4.2,420
